nu,unc,A,S,"E""",g',"g""",J',"J""",Grve',v1',v2',v3',Ka',Kc',"Grve""","v1""","v2""","v3""","Ka""","Kc"""
4342.818046,2.6e-05,2.1936e-05,2.3025789251994012e-26,586.243531,45,45,7,7, B2,0,0,1,6,2, B1,0,0,0,0,7
4342.953165,3e-05,0.0020571,4.233211253293697e-25,744.063658,19,17,9,8, A2,0,0,1,4,5, A1,0,0,0,0,8
4343.505427,6.4e-05,3.1095e-06,1.2467454432936649e-28,1327.109608,63,69,10,11, B2,1,0,0,7,4, B1,0,0,0,0,11
4343.642878,4.2e-05,1.7921e-07,1.2414431644570944e-28,416.208744,13,11,6,5, A2,0,0,1,6,1, A1,0,0,0,2,4
4343.852679,7.8e-05,0.00066649,1.0610066350158416e-29,2748.09865,25,27,12,13, A2,0,1,1,2,11, A1,0,0,0,6,8
4343.887868,0.000115,0.01329,4.048321886064581e-30,3770.878047,69,75,11,12, B2,0,4,0,3,8, B1,0,1,0,4,9
4343.978325,4.1e-05,3.5681e-07,1.106587541417966e-28,885.600147,57,51,9,8, B2,0,2,0,7,2, B1,0,0,0,2,7
4343.979828,6.7e-05,8.5395e-05,2.3871600869802273e-27,1131.775436,17,17,8,8, A2,0,0,1,8,1, A1,0,0,0,4,4
4344.796891,3.4e-05,0.00030768,1.7715936062164915e-29,2630.19233,51,51,8,8, B1,0,1,1,7,1, B2,0,1,0,3,6
4344.992175,6e-05,0.38193,3.4351914492575068e-25,2144.045742,75,69,12,11, B2,0,0,1,8,4, B1,0,0,0,6,5
4345.034769,3.1e-05,0.016227,6.86809612495711e-28,2490.35391,19,17,9,8, A1,0,1,1,5,4, A2,0,1,0,1,7
4345.179125,0.000292,2.992,4.909338694944588e-28,3758.395486,35,33,17,16, A1,0,0,1,7,10, A2,0,0,0,5,11
4345.752285,5.5e-05,0.93118,2.1324262799850073e-28,3877.087538,87,81,14,13, B2,0,1,1,4,10, B1,0,1,0,2,11
4345.867764,5.2e-05,4.7266e-06,1.3084134561161377e-30,2251.862176,39,33,6,5, B2,0,4,0,1,6, B1,0,1,0,4,1
4345.931079,7.8e-05,0.019039,9.203699110406089e-27,2009.805017,21,19,10,9, A2,0,0,1,10,1, A1,0,0,0,8,2
4345.931468,7.5e-05,0.01904,2.7612594703236495e-26,2009.804629,63,57,10,9, B2,0,0,1,10,0, B1,0,0,0,8,1
4346.167036,0.000173,0.010878,3.996104310959782e-30,3487.39812,21,23,10,11, A2,0,4,0,3,7, A1,0,1,0,4,8
4346.413011,8e-05,0.37816,1.141028628017482e-25,2142.596649,25,23,12,11, A2,0,0,1,8,5, A1,0,0,0,6,6
4346.430474,0.00019,2.7204,8.583250981581819e-28,3623.763002,35,33,17,16, A2,1,0,0,7,11, A1,0,0,0,4,12
4346.677768,0.000284,1.9139,7.960852409808732e-30,4728.219738,99,93,16,15, B1,1,1,0,6,11, B2,0,1,0,3,12
4346.713515,7.8e-05,9.9318e-05,1.1800944134072624e-26,1059.835298,51,45,8,7, B1,1,0,0,8,1, B2,0,0,0,5,2
4346.743416,0.000188,5.1318e-05,6.294110745335178e-30,2358.300366,29,31,14,15, A1,1,0,0,6,8, A2,0,0,0,1,15
4346.852689,4.2e-05,0.29449,8.293012974974426e-30,4260.466311,69,63,11,10, B1,0,2,1,3,9, B2,0,2,0,1,10
4346.902233,7.8e-05,9.919e-05,3.931842445454625e-27,1059.646575,17,15,8,7, A1,1,0,0,8,0, A2,0,0,0,5,3
4347.305188,6.9e-05,2.0467e-06,1.1589975408387603e-27,648.978663,33,39,5,6, B1,0,3,0,0,5, B2,0,0,0,3,4
4347.764241,6.1e-05,0.080175,7.296528757983724e-29,3526.627375,63,57,10,9, B1,0,1,1,9,1, B2,0,1,0,7,2
4347.849643,6.9e-05,0.0013067,1.259914086525014e-30,3381.704154,33,27,5,4, B1,1,0,1,3,3, B2,0,2,0,1,4
4347.908939,0.000101,0.28912,7.970805502594778e-29,3565.003519,23,21,11,10, A2,0,1,1,8,3, A1,0,1,0,6,4
4348.205601,0.000101,0.28855,2.3896683081547756e-28,3564.704855,69,63,11,10, B2,0,1,1,8,4, B1,0,1,0,6,5
4348.831524,0.000268,0.39919,4.5699025896217106e-27,2872.578723,33,31,16,15, A1,1,0,0,4,12, A2,0,0,0,3,13
4349.193853,0.000304,5.071e-05,1.405875435072027e-29,2142.596649,23,23,11,11, A2,0,3,0,3,9, A1,0,0,0,6,6
4349.336809,1.8e-05,0.66795,4.219012387368748e-25,2246.883887,87,81,14,13, B2,0,0,1,4,10, B1,0,0,0,2,11
4349.464792,0.0005,0.013108,2.763673983968824e-30,3375.297754,7,9,3,4, A2,0,5,0,1,3, A1,0,2,0,0,4
4349.795378,5.8e-05,5.1485e-06,2.059474874853118e-28,1080.385289,19,19,9,9, A2,1,0,0,7,3, A1,0,0,0,2,8
4349.85392,0.000101,0.0002218,1.3920815738891058e-30,2903.145112,21,21,10,10, A1,0,4,0,0,10, A2,0,1,0,1,9
4349.891469,7.1e-05,0.00022122,4.139363142520469e-30,2904.427809,63,63,10,10, B2,0,4,0,1,10, B1,0,1,0,2,9
4350.135228,0.00015,0.00096885,6.532674022327333e-30,2981.358283,33,35,16,17, A1,0,0,1,5,12, A2,0,0,0,1,17
4350.403065,7.3e-05,1.3083,4.103506321189741e-29,4285.646467,87,81,14,13, B1,0,1,1,7,7, B2,0,1,0,5,8
4350.595754,0.000408,0.0020259,1.1468499329400825e-30,3659.903253,75,69,12,11, B1,0,3,0,8,5, B2,0,1,0,5,6
4350.686375,7.9e-05,0.00036379,1.1744156295416152e-29,2872.273105,93,93,15,15, B2,1,0,0,7,8, B1,0,0,0,2,13
4350.965897,9.4e-05,1.5279e-05,1.617204184643805e-30,2321.811637,21,23,10,11, A1,1,1,0,2,8, A2,0,0,0,7,5
4351.14869,9e-05,0.13222,5.6235379624336e-26,2054.368084,23,21,11,10, A1,0,0,1,9,2, A2,0,0,0,7,3
4351.171702,8.5e-05,0.13219,1.6868521493425505e-25,2054.344741,69,63,11,10, B1,0,0,1,9,3, B2,0,0,0,7,4
4351.250603,3.6e-05,3.3241e-07,3.5467292802237883e-28,326.625476,13,11,6,5, A1,1,0,0,6,0, A2,0,0,0,1,5
4351.331636,8.9e-05,1.0057,8.848945657263385e-26,2426.195175,29,27,14,13, A2,0,0,1,6,9, A1,0,0,0,4,10
4351.417287,9.1e-05,0.0093795,4.4584465113881905e-30,3659.903253,63,69,10,11, B1,0,4,0,4,7, B2,0,1,0,5,6
4351.505901,0.000163,0.013526,1.8000632821211068e-30,3940.51875,69,75,11,12, B1,0,4,0,4,7, B2,0,1,0,5,8
4351.571887,5.7e-05,5.5553e-08,1.0343186971159696e-29,610.114408,9,11,4,5, A2,0,3,0,1,3, A1,0,0,0,4,2
4351.654171,4.7e-05,1.4789e-05,5.194887567229011e-30,2054.368084,19,21,9,10, A1,0,1,1,1,8, A2,0,0,0,7,3
4351.882464,7.4e-05,1.2379e-07,1.2422758123909694e-30,1590.690038,57,51,9,8, B1,0,3,0,2,7, B2,0,0,0,7,2
4351.899136,4.6e-05,0.0008739,6.692213057865893e-30,2841.430511,19,19,9,9, A1,0,1,1,7,2, A2,0,1,0,3,7
4352.055222,0.000204,0.059101,2.3845756503863493e-27,2586.528703,29,27,14,13, A1,0,2,0,8,6, A2,0,0,0,5,9
4352.082783,6.9e-05,2.2184e-07,1.0761685985494607e-28,744.162658,45,51,7,8, B1,0,0,1,7,1, B2,0,0,0,1,8
4352.120954,6.2e-05,3.3546e-05,1.405408748447035e-30,2512.375106,21,19,10,9, A1,1,1,0,4,6, A2,0,1,0,1,9
4352.61778,2.5e-05,1.8352e-05,9.362263095994647e-30,2180.6426,51,45,8,7, B2,1,1,0,5,4, B1,0,1,0,0,7
4352.789727,0.0001,0.0013145,1.1136128700177854e-28,2629.332949,75,81,12,13, B1,0,3,0,4,9, B2,0,0,0,5,8
4353.046974,6.7e-05,8.6409e-05,7.541519381591123e-27,1122.708302,51,51,8,8, B2,0,0,1,8,0, B1,0,0,0,4,5
4353.097392,0.000174,6.411e-05,1.4193951509455038e-29,2205.65174,25,25,12,12, A2,0,2,0,9,3, A1,0,0,0,4,8
4353.141481,3.8e-05,0.00060195,7.648263723641393e-27,1581.335664,69,63,11,10, B2,1,0,0,7,4, B1,0,0,0,4,7
4353.163376,6.2e-05,0.00041791,4.705168572568772e-27,1340.884504,19,19,9,9, A2,0,0,1,8,1, A1,0,0,0,4,6
