wavelength_micron,normalized_flux,err_normalized_flux
2.2906283,9.624850e-01,1.220300e-02
2.2906408,9.626200e-01,7.475000e-03
2.2906532,1.005163e+00,9.836000e-03
2.2906657,9.867030e-01,6.953000e-03
2.2906782,1.000343e+00,9.077000e-03
2.2906907,1.006947e+00,1.301800e-02
2.2907032,1.020303e+00,8.534000e-03
2.2907156,1.028563e+00,1.068100e-02
2.2907281,1.030460e+00,8.128000e-03
2.2907406,1.039933e+00,8.101000e-03
2.2907531,1.045946e+00,7.728000e-03
2.2907655,1.061333e+00,1.240800e-02
2.2907780,1.082039e+00,1.193600e-02
2.2907905,1.074723e+00,9.944000e-03
2.2908030,1.054731e+00,1.111000e-02
2.2908155,1.047783e+00,8.804000e-03
2.2908279,1.036864e+00,9.256000e-03
2.2908404,1.039658e+00,9.980000e-03
2.2908529,1.041731e+00,1.189000e-02
2.2908654,1.027903e+00,1.168000e-02
2.2908778,1.013338e+00,7.035000e-03
2.2908903,1.023482e+00,8.944000e-03
2.2909028,1.014984e+00,7.402000e-03
2.2909153,1.017194e+00,1.006600e-02
2.2909277,1.028030e+00,8.885000e-03
2.2909402,1.036429e+00,7.889000e-03
2.2909527,1.035528e+00,5.491000e-03
2.2909652,1.025911e+00,1.270900e-02
2.2909776,1.025716e+00,9.524000e-03
2.2909901,1.040846e+00,7.320000e-03
2.2910026,1.022285e+00,1.340000e-02
2.2910150,1.027552e+00,7.822000e-03
2.2910275,1.028281e+00,9.274000e-03
2.2910400,1.009157e+00,8.554000e-03
2.2910525,1.026819e+00,8.303000e-03
2.2910649,1.022895e+00,1.431700e-02
2.2910774,1.011027e+00,9.236000e-03
2.2910899,1.004964e+00,1.189400e-02
2.2911023,1.025172e+00,1.523300e-02
2.2911148,1.013787e+00,1.228400e-02
2.2911273,1.016653e+00,1.322600e-02
2.2911397,1.017162e+00,9.767000e-03
2.2911522,1.033164e+00,8.687000e-03
2.2911647,1.028654e+00,8.182000e-03
2.2911772,1.007275e+00,8.872000e-03
2.2911896,1.019876e+00,1.123100e-02
2.2912021,1.030540e+00,9.064000e-03
2.2912146,1.028448e+00,8.015000e-03
2.2912270,1.023952e+00,9.297000e-03
2.2912395,1.045391e+00,8.911000e-03
2.2912520,1.042871e+00,9.145000e-03
2.2912644,1.045533e+00,9.499000e-03
2.2912769,1.033097e+00,9.038000e-03
2.2912894,1.017331e+00,8.483000e-03
2.2913018,1.006904e+00,7.718000e-03
2.2913143,1.007230e+00,9.833000e-03
2.2913267,9.946390e-01,7.804000e-03
2.2913392,9.886320e-01,1.031700e-02
2.2913517,9.799050e-01,7.885000e-03
2.2913641,9.608550e-01,5.810000e-03
2.2913766,9.368270e-01,7.908000e-03
2.2913891,9.433300e-01,9.507000e-03
2.2914015,9.570380e-01,1.008000e-02
2.2914140,9.317860e-01,9.468000e-03
2.2914265,9.206850e-01,9.494000e-03
2.2914389,9.338010e-01,7.187000e-03
2.2914514,9.347600e-01,8.811000e-03
2.2914638,9.322340e-01,8.480000e-03
2.2914763,9.117790e-01,6.020000e-03
2.2914888,9.331610e-01,1.164500e-02
2.2915012,9.098770e-01,9.670000e-03
2.2915137,9.034570e-01,6.734000e-03
2.2915261,9.099990e-01,1.040100e-02
2.2915386,9.079490e-01,8.499000e-03
2.2915511,9.059710e-01,8.392000e-03
2.2915635,9.095350e-01,6.766000e-03
2.2915760,9.061050e-01,7.973000e-03
2.2915884,9.037540e-01,7.998000e-03
2.2916009,8.959760e-01,1.484600e-02
2.2916134,9.092730e-01,1.357000e-02
2.2916258,9.044080e-01,8.805000e-03
2.2916383,9.132710e-01,1.070900e-02
2.2916507,9.338950e-01,9.873000e-03
2.2916632,9.148050e-01,7.025000e-03
2.2916756,9.352770e-01,8.997000e-03
2.2916881,9.478920e-01,9.731000e-03
2.2917006,9.549750e-01,1.016700e-02
2.2917130,9.628410e-01,6.986000e-03
2.2917255,9.701380e-01,1.113500e-02
2.2917379,9.884510e-01,7.174000e-03
2.2917504,9.786440e-01,6.756000e-03
2.2917628,9.937620e-01,8.061000e-03
2.2917753,9.779720e-01,6.040000e-03
2.2917877,9.691680e-01,8.804000e-03
2.2918002,9.660070e-01,7.998000e-03
2.2918126,9.679550e-01,8.714000e-03
2.2918251,9.571400e-01,1.123000e-02
2.2918376,9.595400e-01,5.912000e-03
2.2918500,9.496010e-01,9.654000e-03
2.2918625,9.366540e-01,9.424000e-03
2.2918749,9.259330e-01,9.727000e-03
2.2918874,9.261500e-01,8.208000e-03
2.2918998,8.940740e-01,8.078000e-03
2.2919123,8.885010e-01,1.019400e-02
2.2919247,8.994810e-01,7.210000e-03
