# Wavelength(nm) Rp/Rs Rp_err_low Rp_err_high
1.828372550134042513e+03 1.469979249709894020e-01 5.928924248913999785e-04 6.063553774408000138e-04
1.832303794774136804e+03 1.451008457766455040e-01 5.909899576482999500e-04 6.111779817134999548e-04
1.836235156109945819e+03 1.463912716313681972e-01 5.752955054279000266e-04 5.980848984400000514e-04
1.840166630008106267e+03 1.463759864448969938e-01 6.216105110166000002e-04 6.689212954756999525e-04
1.844098212415337457e+03 1.472285774013145920e-01 5.874340246496000291e-04 5.811673499097999747e-04
1.848029899358448347e+03 1.458662780324657127e-01 6.157409361259000334e-04 5.958736308513000370e-04
1.851961686944341636e+03 1.478613141102745887e-01 6.161163036811999729e-04 5.969177687469999537e-04
1.855893571360021951e+03 1.474023651328557893e-01 5.356467553980999484e-04 5.678376604683000239e-04
1.859825548872598347e+03 1.481034646678519862e-01 6.061532194554000415e-04 6.434394263831000414e-04
1.863757615829289989e+03 1.460787083349850968e-01 5.692882367778999550e-04 5.959807073501000117e-04
1.867689768657432296e+03 1.470003758220511103e-01 5.904489866091000095e-04 6.150519270148000232e-04
1.871622003864479893e+03 1.470265914879470004e-01 6.088870374332999626e-04 6.504653973323000103e-04
1.875554318040886528e+03 1.467047196189875113e-01 6.995841436058000511e-04 6.966050731816999467e-04
1.879486708059808052e+03 1.475571651771767911e-01 6.714024698094999853e-04 6.714145939097999807e-04
1.883419170738786988e+03 1.471030875866221888e-01 5.817091217504000416e-04 6.308663079841999926e-04
1.887351702674071248e+03 1.481362199072600028e-01 6.789304453727999528e-04 6.344448286806999735e-04
1.891284300676004705e+03 1.472401209822983004e-01 6.040840006878000351e-04 7.093270002341000051e-04
1.895216961735010045e+03 1.451428912844273111e-01 6.482100925250999703e-04 6.037205573728999771e-04
1.899149682921644171e+03 1.457178014901830965e-01 7.260205820371000126e-04 6.472974309795000462e-04
1.903082461386601381e+03 1.456998738286175987e-01 6.455565914376999595e-04 6.570711326227999605e-04
1.907015294360716780e+03 1.461514088620874952e-01 6.570037956003999847e-04 6.734309961676000506e-04
1.910948179154969694e+03 1.476180470891317875e-01 6.508914626058999973e-04 6.141584782882999810e-04
