# Line list of the E ^4^{Pi} - A ^4^{Pi} transition of FeH, 
# Table 5 of Hargreaves et al., 2010, AJ, 140, 919
wavenumber,intensity,e_lower,einsteinA,j_lower,branch,omega
6289.4814453,1.556088e-19,2250.0,,,,
6289.2890625,1.9752249999999998e-19,2250.0,,,,
6289.078125,9.328246999999999e-20,2250.0,,,,
6289.0429688,4.013886e-20,2250.0,,,,
6288.9423828,1.335997e-19,2250.0,,,,
6288.6289062,2.5412849999999996e-19,2250.0,,,,
6288.3359375,6.913096999999999e-20,2250.0,,,,
6288.2939453,5.3831779999999995e-20,2250.0,,,,
6288.1074219,7.487721999999999e-20,2250.0,,,,
6288.0493164,8.468361999999999e-20,2250.0,,,,
6287.859375,7.400384e-19,2250.0,,,,
6287.6806641,2.048779e-19,2250.0,,,,
6287.628418,3.2193449999999996e-19,2250.0,,,,
6287.5727539,1.600615e-19,2250.0,,,,
6287.5087891,6.467523e-20,2250.0,,,,
6287.2915039,4.780778999999999e-19,2250.0,,,,
6286.9331055,1.619358e-19,2250.0,,,,
6286.6875,9.148224999999999e-20,2250.0,,,,
6286.6416016,8.118506e-20,2250.0,,,,
6285.9794922,5.018575e-20,2250.0,,,,
6285.953125,7.858838999999999e-20,2250.0,,,,
6285.8676758,4.704618e-20,2250.0,,,,
6285.7607422,1.3620839999999998e-19,2250.0,,,,
6285.7421875,1.867371e-20,2250.0,,,,
6285.190918,1.4063e-19,2250.0,,,,
6285.1660156,1.393671e-19,2250.0,,,,
6285.0449219,4.1927639999999994e-19,2250.0,,,,
6284.7709961,6.230943e-20,2250.0,,,,
6284.6386719,1.476507e-19,2250.0,,,,
6284.597168,6.681112e-20,2250.0,,,,
6283.6708984,1.109033e-19,2250.0,,,,
6283.5249023,8.502869e-20,2250.0,,,,
6282.9296875,3.429502e-18,2250.0,,,,
6282.5981445,3.523624e-18,2250.0,,,,
6282.2255859,7.256147e-20,2250.0,,,,
6281.2919922,3.633612e-18,2250.0,,,,
6281.1113281,2.9979619999999997e-19,2250.0,,,,
6281.0390625,6.959474999999999e-19,2250.0,,,,
6280.9506836,4.0937459999999997e-19,2250.0,,,,
6280.1030273,3.4505000000000002e-18,2250.0,,,,
6279.9038086,3.244141e-18,2250.0,,,,
6279.8417969,9.233071999999998e-19,2250.0,,,,
6279.4775391,6.512987e-20,2250.0,,,,
6279.4233398,7.491425999999999e-20,2250.0,,,,
6279.2832031,5.2220839999999995e-20,2250.0,,,,
6278.7055664,1.214078e-19,2250.0,,,,
6278.6621094,2.1489209999999997e-19,2250.0,,,,
6278.3876953,6.493647999999999e-20,2250.0,,,,
6278.2978516,6.421511999999999e-20,2250.0,,,,
6278.0644531,4.956954e-20,2250.0,,,,
6277.8740234,8.882186999999999e-20,2250.0,,,,
6277.8051758,5.037489e-20,2250.0,,,,
6277.7387695,7.100047e-20,2250.0,,,,
6277.6518555,7.402072e-20,2250.0,,,,
6277.4741211,4.995108e-20,2250.0,,,,
6277.2817383,3.335842e-18,2250.0,,,,
6277.034668,1.2633029999999998e-19,2250.0,,,,
6276.8823242,7.363055e-20,2250.0,,,,
6276.534668,5.94944e-20,2250.0,,,,
6276.3164062,6.235687e-20,2250.0,,,,
6276.1870117,1.215205e-19,2250.0,,,,
6276.1591797,6.867204999999999e-20,2250.0,,,,
6276.0820312,8.694325e-20,2250.0,,,,
6275.6772461,3.418934e-18,2250.0,,,,
6275.5981445,3.340441e-20,2250.0,,,,
6275.5742188,6.782319e-20,2250.0,,,,
6275.3564453,2.7805709999999997e-19,2250.0,,,,
6275.2338867,8.548451e-20,2250.0,,,,
6274.9306641,5.648536e-20,2250.0,,,,
6274.828125,1.8395259999999998e-19,2250.0,,,,
6274.7958984,3.843827e-20,2250.0,,,,
6274.5556641,8.463587e-20,2250.0,,,,
6273.9238281,8.552817e-20,2250.0,,,,
6273.8442383,4.446378e-19,2250.0,,,,
6273.7070312,6.951886e-20,2250.0,,,,
6273.3061523,1.9803489999999998e-19,2250.0,,,,
6273.2446289,9.04385e-19,2250.0,,,,
6273.0976562,1.1998829999999998e-19,2250.0,,,,
6273.0297852,3.2499219999999997e-19,2250.0,,,,
6272.7714844,1.2840479999999998e-19,2250.0,,,,
6272.4042969,4.0920959999999997e-19,2250.0,,,,
6272.3291016,5.132671e-20,2250.0,,,,
6271.9057617,1.6848119999999998e-19,2250.0,,,,
6271.777832,3.485881e-19,2250.0,,,,
6271.6875,5.586574e-20,2250.0,,,,
6271.5761719,5.0155299999999995e-20,2250.0,,,,
6271.4780273,2.256836e-19,2250.0,,,,
6271.3320312,1.238877e-19,2250.0,,,,
6270.996582,4.160336e-20,2250.0,,,,
6270.859375,9.750605e-20,2250.0,,,,
6270.7055664,6.420872e-19,2250.0,,,,
6270.5668945,2.4682219999999996e-19,2250.0,,,,
6270.4477539,1.923892e-19,2250.0,,,,
6270.3847656,1.2317009999999999e-19,2250.0,,,,
6270.1889648,2.958964e-18,2250.0,,,,
6270.0219727,5.949661e-20,2250.0,,,,
6269.956543,1.694077e-19,2250.0,,,,
6269.6357422,1.8373109999999997e-19,2250.0,,,,
6269.5649414,3.222294e-18,2250.0,,,,
6269.425293,6.064722e-20,2250.0,,,,
6269.2592773,7.286289999999999e-20,2250.0,,,,
6269.1694336,3.214722e-19,2250.0,,,,
6268.9941406,7.145266e-20,2250.0,,,,
6268.9350586,7.539973e-20,2250.0,,,,
6268.5878906,2.1631229999999999e-19,2250.0,,,,
6268.4926758,3.243047e-18,2250.0,,,,
6268.4248047,1.954901e-19,2250.0,,,,
6268.3525391,8.487812e-20,2250.0,,,,
6268.2529297,5.467056e-20,2250.0,,,,
6268.0629883,1.5936769999999998e-19,2250.0,,,,
6267.9013672,9.358762999999999e-20,2250.0,,,,
6267.8256836,1.0885709999999998e-19,2250.0,,,,
6267.7446289,4.0573e-20,2250.0,,,,
