# Equilibrium constants  log10(pK)
#          291
# T [K]   1.00000e-05   1.00000e-04   1.00000e-03   1.00000e-02   1.00000e-01   1.50000e-01   2.00000e-01   3.00000e-01   5.00000e-01   7.00000e-01   1.00000e+00   1.30000e+00   1.70000e+00   2.00000e+00   3.00000e+00   5.00000e+00   7.00000e+00   1.00000e+01   1.50000e+01   2.00000e+01   3.00000e+01   5.00000e+01   7.00000e+01   1.00000e+02   1.30000e+02   1.70000e+02   2.00000e+02   2.50000e+02   3.00000e+02   5.00000e+02   7.00000e+02   1.00000e+03   1.50000e+03   2.00000e+03   3.00000e+03   4.00000e+03   5.00000e+03   6.00000e+03   7.00000e+03   8.00000e+03   9.00000e+03   1.00000e+04
#
   I2  -7.75893e+08  -7.75893e+07  -7.75893e+06  -7.75890e+05  -7.75845e+04  -5.17211e+04  -3.87894e+04  -2.58575e+04  -1.55120e+04  -1.10781e+04  -7.75258e+03  -5.96189e+03  -4.55738e+03  -3.87266e+03  -2.57924e+03  -1.54439e+03  -1.10080e+03  -7.68041e+02  -5.09145e+02  -3.79642e+02  -2.50063e+02  -1.46279e+02  -1.01727e+02  -6.82575e+01  -5.02039e+01  -3.60211e+01  -2.90969e+01  -2.12382e+01  -1.59903e+01  -5.45981e+00  -9.21082e-01   2.50402e+00   5.19164e+00   6.54626e+00   7.87598e+00   8.47228e+00   8.78205e+00   8.97018e+00   9.10091e+00   9.20091e+00   9.28279e+00   9.35387e+00
  Cs2  -2.09992e+08  -2.09992e+07  -2.09992e+06  -2.09991e+05  -2.09957e+04  -1.39957e+04  -1.04957e+04  -6.99552e+03  -4.19529e+03  -2.99511e+03  -2.09491e+03  -1.61014e+03  -1.22989e+03  -1.04450e+03  -6.94248e+02  -4.13925e+02  -2.93710e+02  -2.03482e+02  -1.33228e+02  -9.80555e+01  -6.28337e+01  -3.45949e+01  -2.24613e+01  -1.33366e+01  -8.40790e+00  -4.52929e+00  -2.63212e+00  -4.74486e-01   9.70136e-01   3.88374e+00   5.14730e+00   6.09571e+00   6.80771e+00   7.14237e+00   7.49538e+00   7.75501e+00   8.04732e+00   8.42306e+00   8.86304e+00   9.31224e+00   9.73144e+00   1.01061e+01
  H2+  -1.33590e+09  -1.33590e+08  -1.33590e+07  -1.33590e+06  -1.33588e+05  -8.90582e+04  -6.67930e+04  -4.45276e+04  -2.67151e+04  -1.90810e+04  -1.33554e+04  -1.02723e+04  -7.85406e+03  -6.67516e+03  -4.44822e+03  -2.66647e+03  -1.90274e+03  -1.32983e+03  -8.84100e+02  -6.61178e+02  -4.38221e+02  -2.59790e+02  -1.83242e+02  -1.25750e+02  -9.47403e+01  -7.03760e+01  -5.84774e+01  -4.49669e+01  -3.59380e+01  -1.77858e+01  -9.93375e+00  -3.98876e+00   6.88901e-01   3.05399e+00   5.44332e+00   6.64846e+00   7.37512e+00   7.86195e+00   8.21226e+00   8.47789e+00   8.68755e+00   8.85831e+00
 He2+  -1.23257e+09  -1.23257e+08  -1.23257e+07  -1.23257e+06  -1.23255e+05  -8.21694e+04  -6.16263e+04  -4.10830e+04  -2.46482e+04  -1.76046e+04  -1.23218e+04  -9.47714e+03  -7.24596e+03  -6.15822e+03  -4.10350e+03  -2.45952e+03  -1.75483e+03  -1.22621e+03  -8.14941e+02  -6.09257e+02  -4.03517e+02  -2.38819e+02  -1.68159e+02  -1.15096e+02  -8.64780e+01  -6.39918e+01  -5.30092e+01  -4.05371e+01  -3.22006e+01  -1.54369e+01  -8.18691e+00  -2.70328e+00   1.60375e+00   3.77706e+00   5.96592e+00   7.06070e+00   7.71123e+00   8.14042e+00   8.44628e+00   8.67774e+00   8.86127e+00   9.01213e+00
  C2+  -3.12575e+09  -3.12575e+08  -3.12575e+07  -3.12575e+06  -3.12573e+05  -2.08381e+05  -1.56285e+05  -1.04189e+05  -6.25116e+04  -4.46498e+04  -3.12534e+04  -2.40398e+04  -1.83821e+04  -1.56239e+04  -1.04139e+04  -6.24573e+03  -4.45927e+03  -3.11931e+03  -2.07696e+03  -1.55569e+03  -1.03427e+03  -6.16913e+02  -4.37924e+02  -3.03591e+02  -2.31204e+02  -1.74385e+02  -1.46663e+02  -1.15219e+02  -9.42344e+01  -5.21760e+01  -3.40893e+01  -2.04816e+01  -9.85608e+00  -4.52012e+00   8.45395e-01   3.55028e+00   5.18764e+00   6.28939e+00   7.08381e+00   7.68530e+00   8.15764e+00   8.53930e+00
  N2+  -4.38853e+09  -4.38853e+08  -4.38853e+07  -4.38853e+06  -4.38850e+05  -2.92565e+05  -2.19423e+05  -1.46280e+05  -8.77662e+04  -6.26885e+04  -4.38801e+04  -3.37525e+04  -2.58092e+04  -2.19368e+04  -1.46222e+04  -8.77038e+03  -6.26239e+03  -4.38134e+03  -2.91821e+03  -2.18657e+03  -1.45480e+03  -8.69171e+02  -6.18057e+02  -4.29619e+02  -3.28092e+02  -2.48413e+02  -2.09547e+02  -1.65470e+02  -1.36063e+02  -7.71508e+01  -5.18289e+01  -3.27807e+01  -1.79096e+01  -1.04461e+01  -2.96094e+00   7.82634e-01   3.02403e+00   4.51633e+00   5.58337e+00   6.38643e+00   7.01424e+00   7.51941e+00
  O2+  -3.20890e+09  -3.20890e+08  -3.20890e+07  -3.20890e+06  -3.20887e+05  -2.13923e+05  -1.60441e+05  -1.06959e+05  -6.41732e+04  -4.58363e+04  -3.20835e+04  -2.46780e+04  -1.88697e+04  -1.60382e+04  -1.06896e+04  -6.41057e+03  -4.57662e+03  -3.20109e+03  -2.13114e+03  -1.59612e+03  -1.06101e+03  -6.32806e+02  -4.49211e+02  -3.11447e+02  -2.37223e+02  -1.78970e+02  -1.50552e+02  -1.18321e+02  -9.68127e+01  -5.37055e+01  -3.51622e+01  -2.12031e+01  -1.02961e+01  -4.81633e+00   6.92704e-01   3.46566e+00   5.13989e+00   6.26298e+00   7.06956e+00   7.67632e+00   8.14757e+00   8.52185e+00
 Ne2+  -6.35027e+08  -6.35027e+07  -6.35028e+06  -6.35028e+05  -6.35005e+04  -4.23325e+04  -3.17484e+04  -2.11641e+04  -1.26966e+04  -9.06746e+03  -6.34553e+03  -4.87980e+03  -3.73014e+03  -3.16966e+03  -2.11089e+03  -1.26374e+03  -9.00606e+02  -6.28185e+02  -4.16218e+02  -3.10179e+02  -2.04064e+02  -1.19050e+02  -8.25387e+01  -5.50877e+01  -4.02616e+01  -2.85957e+01  -2.28909e+01  -1.64053e+01  -1.20654e+01  -3.32165e+00   4.72267e-01   3.35375e+00   5.63329e+00   6.79571e+00   7.98687e+00   8.60217e+00   8.98274e+00   9.24393e+00   9.43579e+00   9.58364e+00   9.70175e+00   9.79875e+00
  P2+  -2.49475e+09  -2.49475e+08  -2.49475e+07  -2.49475e+06  -2.49473e+05  -1.66314e+05  -1.24734e+05  -8.31546e+04  -4.98908e+04  -3.56347e+04  -2.49426e+04  -1.91853e+04  -1.46697e+04  -1.24683e+04  -8.31010e+03  -4.98340e+03  -3.55760e+03  -2.48818e+03  -1.65632e+03  -1.24034e+03  -8.24277e+02  -4.91298e+02  -3.48491e+02  -2.41281e+02  -1.83482e+02  -1.38091e+02  -1.15936e+02  -9.07964e+01  -7.40136e+01  -4.03687e+01  -2.59028e+01  -1.50245e+01  -6.53682e+00  -2.27772e+00   2.00653e+00   4.17674e+00   5.50259e+00   6.40308e+00   7.05565e+00   7.54904e+00   7.93370e+00   8.24134e+00
  S2+  -2.59202e+09  -2.59202e+08  -2.59202e+07  -2.59202e+06  -2.59199e+05  -1.72797e+05  -1.29597e+05  -8.63959e+04  -5.18351e+04  -3.70233e+04  -2.59143e+04  -1.99325e+04  -1.52408e+04  -1.29536e+04  -8.63331e+03  -5.17692e+03  -3.69553e+03  -2.58442e+03  -1.72014e+03  -1.28795e+03  -8.55677e+02  -5.09739e+02  -3.61403e+02  -2.50083e+02  -1.90095e+02  -1.43005e+02  -1.20029e+02  -9.39673e+01  -7.65753e+01  -4.17281e+01  -2.67526e+01  -1.54912e+01  -6.70000e+00  -2.28404e+00   2.16172e+00   4.41095e+00   5.78073e+00   6.70946e+00   7.38420e+00   7.89821e+00   8.30350e+00   8.63170e+00
